Drug1,Drug2,Prob,SimilaritySource,Method
DB06809,C0151699,0.9827,HPO,BLM
DB00331,C0015402,0.9826,HPO,BLM
DB01232,C0151699,0.9825,HPO,BLM
DB00916,C1510412,0.9825,UMLS,BLM
DB06698,C0151699,0.9823,HPO,BLM
DB00491,C0019572,0.9822,HPO,BLM
DB00370,C1510412,0.9822,UMLS,BLM
DB00583,C0029089,0.9821,HPO,BLM
DB01264,C0019064,0.9821,HPO,BLM
DB01264,C0003855,0.9821,HPO,BLM
DB00597,C0019064,0.9821,HPO,BLM
DB09065,C0015402,0.9821,HPO,BLM
DB01083,C0003855,0.982,HPO,BLM
DB00303,C0032000,0.9819,HPO,BLM
DB01280,C0003855,0.9818,HPO,BLM
DB06809,C0015402,0.9818,HPO,BLM
DB00580,C0015402,0.9816,HPO,BLM
DB00346,C0015402,0.9815,HPO,BLM
DB00130,C0151699,0.9815,HPO,BLM
DB00836,C0151699,0.9815,HPO,BLM
DB14126,C0015402,0.9814,HPO,BLM
DB00491,C0151699,0.9814,HPO,BLM
DB00762,C0019064,0.9814,HPO,BLM
DB06215,C0028866,0.9813,HPO,BLM
DB00244,C0035126,0.9813,UMLS,BLM
DB06809,C0017565,0.9813,HPO,BLM
DB01046,C0015402,0.9813,HPO,BLM
DB01220,C0151699,0.9813,HPO,BLM
DB00316,C0019064,0.9812,HPO,BLM
DB01200,C0151701,0.9812,UMLS,BLM
DB09462,C0019572,0.9812,HPO,BLM
DB00884,C0003855,0.9811,HPO,BLM
DB00349,C0003855,0.9811,HPO,BLM
DB00530,C0042345,0.9811,HPO,BLM
DB00580,C0151699,0.9811,HPO,BLM
DB00658,C0151699,0.981,HPO,BLM
DB04854,C0151699,0.981,HPO,BLM
DB00658,C0015402,0.9807,HPO,BLM
DB00419,C0018926,0.9807,HPO,BLM
DB01012,C0015402,0.9807,HPO,BLM
DB00709,C0003855,0.9807,HPO,BLM
DB00006,C0024117,0.9807,HPO,BLM
DB06698,C0019572,0.9807,HPO,BLM
DB00196,C0019064,0.9806,HPO,BLM
DB01186,C1510412,0.9804,UMLS,BLM
DB06414,C0151699,0.9804,HPO,BLM
DB00130,C0015402,0.9804,HPO,BLM
DB00633,C0003855,0.9804,HPO,BLM
DB01280,C0019064,0.9804,HPO,BLM
DB09065,C0151699,0.9803,HPO,BLM
DB01128,C0015402,0.9803,HPO,BLM
DB06213,C0007177,0.9803,UMLS,BLM
DB06213,C0019064,0.9802,HPO,BLM
DB00316,C0003855,0.9801,HPO,BLM
DB06213,C0015402,0.9801,HPO,BLM
DB00489,C0019064,0.9801,HPO,BLM
DB01083,C0019064,0.98,HPO,BLM
DB01262,C0032000,0.9799,HPO,BLM
DB00224,C0019064,0.9799,HPO,BLM
DB14126,C0003855,0.9798,HPO,BLM
DB00370,C0035126,0.9796,UMLS,BLM
DB00419,C0151699,0.9796,HPO,BLM
DB01046,C0151699,0.9795,HPO,BLM
DB00370,C0426747,0.9795,UMLS,BLM
DB00615,C0015402,0.9795,HPO,BLM
DB00331,C0017565,0.9795,HPO,BLM
DB01014,C0019064,0.9794,HPO,BLM
DB00932,C0042345,0.9793,HPO,BLM
DB00552,C0015402,0.9793,HPO,BLM
DB01079,C0015402,0.9792,HPO,BLM
DB00572,C0151699,0.9792,HPO,BLM
DB00472,C0341512,0.9791,UMLS,BLM
DB00331,C0162119,0.9791,HPO,BLM
DB06213,C0917798,0.9790000000000001,UMLS,BLM
DB06663,C0151699,0.9789,HPO,BLM
DB00489,C0003855,0.9789,HPO,BLM
DB01222,C0019064,0.9788,HPO,BLM
DB01220,C0015402,0.9788,HPO,BLM
DB00554,C0019572,0.9788,HPO,BLM
DB09101,C0029456,0.9788,HPO,BLM
DB00244,C1868809,0.9788,UMLS,BLM
DB01129,C0019065,0.9788,UMLS,BLM
DB00316,C0024117,0.9787,HPO,BLM
DB00857,C0019064,0.9787,HPO,BLM
DB00953,C0008311,0.9787,HPO,BLM
DB00188,C0003855,0.9785,HPO,BLM
DB00762,C0028866,0.9785,HPO,BLM
DB00900,C0008311,0.9785,HPO,BLM
DB00804,C0017565,0.9784,HPO,BLM
DB00787,C0015402,0.9784,HPO,BLM
DB06663,C0015402,0.9783,HPO,BLM
DB01222,C0003855,0.9783,HPO,BLM
DB01394,C0030794,0.9783,UMLS,BLM
DB00296,C0003855,0.9783,HPO,BLM
DB00419,C0015402,0.9782,HPO,BLM
DB00337,C0015402,0.9782,HPO,BLM
DB00975,C0003855,0.9782,HPO,BLM
DB00293,C0029456,0.9781,HPO,BLM
DB01241,C0162119,0.9781,HPO,BLM
DB06414,C0018926,0.9781,HPO,BLM
DB00884,C0015402,0.9781,HPO,BLM
DB00492,C0015402,0.9781,HPO,BLM
DB02638,C0003855,0.9781,UMLS,BLM
DB00492,C0042345,0.9779,HPO,BLM
DB00709,C0019064,0.9779,HPO,BLM
DB00762,C0003855,0.9779,HPO,BLM
DB00602,C0151699,0.9777,HPO,BLM
DB01222,C0151699,0.9777,HPO,BLM
DB00317,C0151699,0.9775,HPO,BLM
DB00612,C0017565,0.9775,HPO,BLM
DB00244,C0426747,0.9775,UMLS,BLM
DB01200,C0030794,0.9775,UMLS,BLM
DB00472,C0426747,0.9774,UMLS,BLM
DB00649,C0015402,0.9774,HPO,BLM
DB00489,C0015402,0.9773,HPO,BLM
DB00881,C0029456,0.9772,HPO,BLM
DB01177,C0017565,0.9772,HPO,BLM
DB00658,C0017565,0.9772,HPO,BLM
DB04854,C0015402,0.9771,HPO,BLM
DB00316,C0029927,0.9771,HPO,BLM
DB01083,C0015402,0.9771,HPO,BLM
DB00185,C0017565,0.9771,HPO,BLM
DB00494,C0151699,0.9771,HPO,BLM
DB00887,C0151699,0.977,HPO,BLM
DB00261,C0003855,0.9769,HPO,BLM
DB09101,C0018926,0.9768,HPO,BLM
DB01280,C0015402,0.9768,HPO,BLM
DB01177,C0018926,0.9768,UMLS,BLM
DB00370,C0341512,0.9768,UMLS,BLM
DB06769,C0151699,0.9767,HPO,BLM
DB00969,C0151699,0.9767,HPO,BLM
DB00571,C0003855,0.9767,UMLS,BLM
DB01162,C0151699,0.9767,HPO,BLM
DB00928,C0019064,0.9766,HPO,BLM
DB00598,C0151699,0.9766,HPO,BLM
DB00296,C0019064,0.9765,HPO,BLM
DB00630,C0025323,0.9764,HPO,BLM
DB08911,C0018926,0.9764,HPO,BLM
DB01254,C1384606,0.9764,HPO,BLM
DB01280,C0151699,0.9763,HPO,BLM
DB00296,C0028866,0.9762,HPO,BLM
DB01059,C0239783,0.9762,UMLS,BLM
DB01024,C0005695,0.9762,HPO,BLM
DB08860,C0029089,0.9762,HPO,BLM
DB01250,C0015402,0.9762,HPO,BLM
DB00630,C0151699,0.9761,HPO,BLM
DB04485,C0151699,0.9761,HPO,BLM
DB01177,C0019572,0.9761,UMLS,BLM
DB00602,C0015402,0.9761,HPO,BLM
DB00489,C0019065,0.976,UMLS,BLM
DB00297,C0151699,0.976,HPO,BLM
DB00580,C0162119,0.976,HPO,BLM
DB00836,C0018926,0.9759,HPO,BLM
DB01083,C0151699,0.9759,HPO,BLM
DB00612,C0162119,0.9759,HPO,BLM
DB00244,C0003855,0.9759,UMLS,BLM
DB00361,C0015402,0.9759,HPO,BLM
DB00396,C0028866,0.9758,HPO,BLM
DB00804,C0151699,0.9758,HPO,BLM
DB04845,C0018926,0.9757,HPO,BLM
DB00675,C0015402,0.9757,HPO,BLM
DB00804,C0019064,0.9757,HPO,BLM
DB00625,C0003855,0.9756,HPO,BLM
DB01215,C0005695,0.9755,HPO,BLM
DB00736,C0151699,0.9755,HPO,BLM
DB00209,C0015402,0.9754,HPO,BLM
DB00130,C0017565,0.9754,HPO,BLM
DB01215,C0019064,0.9753,HPO,BLM
DB01250,C0151699,0.9753,HPO,BLM
DB01264,C0151699,0.9753,HPO,BLM
DB00709,C0042345,0.9753,HPO,BLM
DB00242,C0015402,0.9753,HPO,BLM
DB00491,C0162119,0.9752,HPO,BLM
DB01067,C0018926,0.9752,HPO,BLM
DB01085,C0017565,0.9752,HPO,BLM
DB06213,C0003855,0.9752,HPO,BLM
DB01046,C0017565,0.9751,HPO,BLM
DB00489,C0009492,0.975,UMLS,BLM
DB00472,C0151505,0.9749,UMLS,BLM
DB09101,C0162119,0.9749,HPO,BLM
DB00472,C0032001,0.9749,UMLS,BLM
DB01008,C0015402,0.9747,HPO,BLM
DB00836,C0017565,0.9746,HPO,BLM
DB00461,C0032000,0.9746,HPO,BLM
DB00491,C0017565,0.9746,HPO,BLM
DB06215,C0151699,0.9746,HPO,BLM
DB00857,C0151699,0.9745,HPO,BLM
DB00932,C0018926,0.9745,UMLS,BLM
DB00997,C0032000,0.9745,HPO,BLM
DB00130,C0162119,0.9745,HPO,BLM
DB00316,C0015402,0.9743,HPO,BLM
DB00209,C0029456,0.9743,HPO,BLM
DB06772,C0162119,0.9743,HPO,BLM
DB01029,C0019064,0.9742,HPO,BLM
DB01060,C0017565,0.9742,HPO,BLM
DB01264,C0015402,0.9741,HPO,BLM
DB00790,C0015402,0.9741,HPO,BLM
DB00104,C0003855,0.9740000000000001,HPO,BLM
DB00916,C0162119,0.9739,HPO,BLM
DB00367,C0018926,0.9739,HPO,BLM
DB00492,C0151699,0.9739,HPO,BLM
DB00836,C0162119,0.9737,HPO,BLM
DB04854,C0018926,0.9736,HPO,BLM
DB00806,C0018926,0.9735,HPO,BLM
DB01220,C0017565,0.9735,HPO,BLM
DB00346,C0018926,0.9734,HPO,BLM
DB14126,C0151699,0.9733,HPO,BLM
DB02638,C0025222,0.9733,UMLS,BLM
DB00349,C0151699,0.9732,HPO,BLM
DB00316,C0151699,0.9732,HPO,BLM
DB06215,C0003855,0.9732,HPO,BLM
DB00343,C0019064,0.9732,HPO,BLM
DB00209,C0151699,0.9731,HPO,BLM
DB01142,C0005695,0.9729,HPO,BLM
DB01263,C0162119,0.9729,HPO,BLM
DB00297,C0917798,0.9729,HPO,BLM
DB01008,C0151699,0.9729,HPO,BLM
DB06414,C0017565,0.9729,HPO,BLM
DB00804,C0003855,0.9728,HPO,BLM
DB01220,C0162119,0.9728,HPO,BLM
DB00685,C0162119,0.9727,HPO,BLM
DB04485,C0018926,0.9727,HPO,BLM
DB00104,C0019064,0.9727,HPO,BLM
DB00327,C0151699,0.9726,HPO,BLM
DB00518,C0017565,0.9726,HPO,BLM
DB00533,C0017565,0.9725,HPO,BLM
DB01254,C0003855,0.9725,HPO,BLM
DB01263,C0017565,0.9725,HPO,BLM
DB09462,C0018926,0.9725,HPO,BLM
DB00884,C0018926,0.9725,HPO,BLM
DB00692,C0162119,0.9724,HPO,BLM
DB00331,C0019079,0.9724,HPO,BLM
DB00597,C0015402,0.9724,HPO,BLM
DB00724,C0029089,0.9724,HPO,BLM
DB01030,C0018926,0.9724,HPO,BLM
DB00264,C0019064,0.9724,HPO,BLM
DB00762,C0029089,0.9723,HPO,BLM
DB01072,C0151699,0.9723,HPO,BLM
DB01268,C0151699,0.9723,HPO,BLM
DB01046,C0019079,0.9722,HPO,BLM
DB12091,C0162119,0.9722,HPO,BLM
DB00381,C0017565,0.9722,HPO,BLM
DB00630,C0042514,0.9722,HPO,BLM
DB00580,C0018926,0.9721,HPO,BLM
DB00320,C0019064,0.9721,HPO,BLM
DB00303,C0151699,0.9721,HPO,BLM
DB00709,C0015402,0.9721,HPO,BLM
DB01217,C0018926,0.9721,HPO,BLM
DB01254,C0151699,0.9721,HPO,BLM
DB00482,C0017565,0.972,HPO,BLM
DB00571,C0162119,0.972,UMLS,BLM
DB09101,C0017565,0.972,HPO,BLM
DB01551,C0018926,0.9719,HPO,BLM
DB00571,C0151699,0.9719,HPO,BLM
DB00674,C0005695,0.9719,HPO,BLM
DB01222,C0015402,0.9719,HPO,BLM
DB01046,C0018926,0.9718,HPO,BLM
DB00602,C0017565,0.9718,HPO,BLM
DB00998,C0003855,0.9717,HPO,BLM
DB00472,C1510412,0.9717,UMLS,BLM
DB01180,C0018926,0.9717,HPO,BLM
DB00762,C0151699,0.9717,HPO,BLM
DB00282,C0019064,0.9716,HPO,BLM
DB00472,C0010072,0.9716,UMLS,BLM
DB00762,C0162119,0.9716,UMLS,BLM
DB06213,C0017565,0.9716,HPO,BLM
DB06698,C0018926,0.9716,HPO,BLM
DB00419,C0020437,0.9716,HPO,BLM
DB01024,C0003855,0.9715,HPO,BLM
DB01262,C0019064,0.9715,HPO,BLM
