Drug1,Drug2,Prob,SimilaritySource,Method
DB01023,C0034359,0.2721,UMLS,GIP
DB00571,C1760428,0.2721,UMLS,GIP
DB00499,C1527358,0.2721,UMLS,GIP
DB00597,C0948089,0.2721,UMLS,GIP
DB00658,C0043094,0.272,HPO,GIP
DB00720,C0338831,0.272,HPO,LapRLS
DB11180,C0040822,0.272,UMLS,LapRLS
DB00195,C0151602,0.2719,UMLS,GIP
DB00264,C0392390,0.2719,UMLS,GIP
DB01236,C0028738,0.2719,HPO,LapRLS
DB00695,C0242698,0.2718,UMLS,GIP
DB04938,C0042109,0.2718,UMLS,GIP
DB01193,C0235146,0.2718,UMLS,GIP
DB00828,C0028738,0.2718,HPO,LapRLS
DB00313,C0013595,0.2717,HPO,LapRLS
DB00706,C0231837,0.2717,UMLS,GIP
DB00869,C0314719,0.2717,UMLS,GIP
DB01236,C0010692,0.2717,HPO,LapRLS
DB00125,C0040264,0.2717,HPO,LapRLS
DB00828,C0041969,0.2716,UMLS,LapRLS
DB06698,C0024282,0.2715,HPO,LapRLS
DB00264,C0028643,0.2715,UMLS,GIP
DB00878,C0000768,0.2715,UMLS,GIP
DB06261,C0232461,0.2715,UMLS,LapRLS
DB06698,C0018790,0.2714,HPO,LapRLS
DB06698,C0018099,0.2714,HPO,LapRLS
DB00443,C0015967,0.2713,UMLS,GIP
DB00745,C0392684,0.2712,UMLS,GIP
DB01256,C0429029,0.2712,UMLS,GIP
DB08933,C0231451,0.2711,UMLS,GIP
DB06151,C0011849,0.2711,HPO,LapRLS
DB00999,C2240374,0.2711,UMLS,GIP
DB00332,C0011053,0.2711,UMLS,GIP
DB00745,C0013491,0.271,UMLS,GIP
DB00597,C0043094,0.2709,HPO,LapRLS
DB01189,C0029191,0.2709,HPO,GIP
DB01012,C0000727,0.2709,UMLS,GIP
DB00753,C0151766,0.2708,UMLS,GIP
DB00316,C0151603,0.2708,HPO,LapRLS
DB00630,C0178298,0.2707,UMLS,GIP
DB00431,C0085584,0.2707,HPO,LapRLS
DB01006,C0271453,0.2707,UMLS,GIP
DB00742,C1527358,0.2707,UMLS,GIP
DB00788,C0235660,0.2707,UMLS,GIP
DB01400,C0338480,0.2707,HPO,GIP
DB00125,C0026826,0.2707,HPO,LapRLS
DB04572,C0011991,0.2707,HPO,LapRLS
DB04572,C0018965,0.2707,HPO,LapRLS
DB01008,C0011168,0.2707,UMLS,LapRLS
DB06201,C0030232,0.2706,UMLS,GIP
DB00279,C0020621,0.2706,UMLS,GIP
DB00695,C0018681,0.2706,UMLS,GIP
DB00753,C0085632,0.2706,HPO,LapRLS
DB01236,C0040046,0.2706,HPO,LapRLS
DB00916,C0948240,0.2705,UMLS,GIP
DB00720,C2830004,0.2705,HPO,LapRLS
DB00980,C0575081,0.2705,UMLS,GIP
DB00315,C0086132,0.2705,UMLS,GIP
DB00622,C0015672,0.2703,UMLS,LapRLS
DB00697,C0235475,0.2703,UMLS,GIP
DB00753,C3665347,0.2702,HPO,LapRLS
DB01033,C0877104,0.2702,UMLS,GIP
DB00594,C0014130,0.2702,UMLS,GIP
DB06261,C0008031,0.2702,UMLS,LapRLS
DB00605,C0034888,0.2702,UMLS,GIP
DB00828,C0017601,0.2702,HPO,LapRLS
DB00811,C0221242,0.27,UMLS,LapRLS
DB11180,C0017181,0.27,HPO,LapRLS
DB00227,C0034888,0.2699,UMLS,GIP
DB00715,C0162311,0.2699,UMLS,GIP
DB00544,C0012833,0.2699,UMLS,LapRLS
DB00583,C0042109,0.2699,UMLS,LapRLS
DB11180,C0025323,0.2699,HPO,LapRLS
DB00934,C0392390,0.2699,UMLS,GIP
DB00720,C0026827,0.2699,HPO,LapRLS
DB00859,C0015967,0.2699,UMLS,LapRLS
DB01320,C0034888,0.2698,UMLS,GIP
DB00829,C0265110,0.2698,UMLS,GIP
DB01168,C0687713,0.2698,UMLS,GIP
DB00252,C0042568,0.2698,UMLS,GIP
DB13868,C0242698,0.2698,UMLS,GIP
DB01008,C0002962,0.2698,UMLS,LapRLS
DB00658,C0205204,0.2698,UMLS,LapRLS
DB00915,C0085584,0.2698,HPO,LapRLS
DB06698,C0016382,0.2698,UMLS,GIP
DB00571,C0221201,0.2698,UMLS,GIP
DB11180,C0040046,0.2697,HPO,LapRLS
DB00125,C0039231,0.2697,UMLS,LapRLS
DB00859,C0002962,0.2696,HPO,LapRLS
DB06436,C0019555,0.2695,UMLS,GIP
DB06698,C0520679,0.2695,UMLS,GIP
DB00583,C0002962,0.2695,HPO,LapRLS
DB00182,C0011053,0.2694,UMLS,LapRLS
DB06711,C0013491,0.2694,UMLS,GIP
DB00529,C0029191,0.2694,HPO,GIP
DB01072,C0151735,0.2694,UMLS,LapRLS
DB00949,C0338480,0.2693,HPO,GIP
DB00227,C0014863,0.2693,UMLS,GIP
DB06261,C0018524,0.2692,UMLS,LapRLS
DB00828,C0035455,0.2692,UMLS,LapRLS
DB00316,C0022660,0.2692,UMLS,LapRLS
DB01213,C0700225,0.2692,HPO,LapRLS
DB04572,C0024282,0.2692,HPO,LapRLS
DB00572,C0162386,0.2692,UMLS,GIP
DB00291,C0013404,0.2692,UMLS,GIP
DB00996,C0020620,0.2692,UMLS,GIP
DB00804,C0237849,0.2691,UMLS,GIP
DB01656,C0011124,0.26899999999999996,UMLS,GIP
DB06151,C0000731,0.26899999999999996,UMLS,LapRLS
DB01592,C0151735,0.26899999999999996,UMLS,LapRLS
DB00323,C0155947,0.26899999999999996,UMLS,GIP
DB00753,C0028734,0.2689,HPO,LapRLS
DB00658,C0476273,0.2689,UMLS,LapRLS
DB00125,C0023530,0.2689,HPO,LapRLS
DB00398,C0242698,0.2689,UMLS,GIP
DB04845,C0027441,0.2689,UMLS,GIP
DB00753,C1384666,0.2688,HPO,LapRLS
DB06243,C0020620,0.2688,UMLS,GIP
DB00709,C0242698,0.2688,UMLS,GIP
DB09220,C0015930,0.2687,UMLS,GIP
DB00323,C0151598,0.2687,UMLS,GIP
DB01236,C0037199,0.2686,HPO,LapRLS
DB01248,C0854706,0.2686,UMLS,LapRLS
DB00282,C0455204,0.2686,UMLS,GIP
DB00547,C0429098,0.2685,UMLS,GIP
DB00859,C0917801,0.2685,UMLS,LapRLS
DB00601,C0086132,0.2685,UMLS,GIP
DB00788,C0476280,0.2685,UMLS,GIP
DB00316,C0042024,0.2684,HPO,LapRLS
DB00395,C0027051,0.2684,UMLS,GIP
DB01586,C0086525,0.2684,UMLS,GIP
DB00953,C0018524,0.2684,UMLS,GIP
DB00828,C1510412,0.2684,UMLS,GIP
DB06261,C0042571,0.2684,HPO,LapRLS
DB00658,C0028960,0.2684,HPO,LapRLS
DB00611,C0853225,0.2683,UMLS,LapRLS
DB00531,C0009088,0.2683,HPO,GIP
DB00439,C0314719,0.2683,UMLS,GIP
DB01043,C3665386,0.2683,HPO,LapRLS
DB00316,C0085628,0.2683,UMLS,LapRLS
DB00659,C0151786,0.2683,UMLS,GIP
DB00182,C0041969,0.2683,UMLS,LapRLS
DB00185,C0428977,0.2683,UMLS,GIP
DB01189,C0037926,0.2682,HPO,GIP
DB00130,C0032285,0.2682,HPO,LapRLS
DB00659,C0162834,0.2681,HPO,LapRLS
DB00316,C0018790,0.2681,UMLS,LapRLS
DB01189,C1258215,0.268,UMLS,LapRLS
DB08895,C0853697,0.268,UMLS,GIP
DB01004,C0206277,0.268,UMLS,GIP
DB06711,C0020457,0.268,UMLS,GIP
DB06698,C0013295,0.2679,HPO,LapRLS
DB00727,C0030554,0.2679,UMLS,LapRLS
DB01224,C1527358,0.2679,UMLS,GIP
DB06594,C0003811,0.2679,UMLS,GIP
DB01085,C0030312,0.2678,UMLS,GIP
DB06698,C0151878,0.2678,HPO,LapRLS
DB08947,C0311468,0.2677,UMLS,GIP
DB00499,C0740299,0.2677,UMLS,GIP
DB00373,C0009088,0.2677,HPO,GIP
DB00597,C0012569,0.2677,HPO,LapRLS
DB00619,C0854706,0.2677,UMLS,LapRLS
DB06151,C0018926,0.2676,HPO,LapRLS
DB00431,C0013604,0.2676,UMLS,LapRLS
DB11180,C0004238,0.2676,HPO,LapRLS
DB06261,C0149745,0.2676,HPO,LapRLS
DB00507,C0311468,0.2676,UMLS,GIP
DB00575,C0009088,0.2676,HPO,GIP
DB00742,C0242350,0.2676,HPO,GIP
DB00316,C2712122,0.2676,UMLS,GIP
DB06261,C0428977,0.2675,HPO,LapRLS
DB00927,C0009088,0.2675,HPO,GIP
DB00294,C0151766,0.2675,UMLS,GIP
DB00915,C0011570,0.2675,UMLS,LapRLS
DB00182,C0022660,0.2675,UMLS,LapRLS
DB00612,C0019825,0.2675,UMLS,GIP
DB01195,C0231528,0.2675,UMLS,GIP
DB06637,C0028081,0.2674,HPO,GIP
DB00928,C0429029,0.2674,UMLS,GIP
DB06261,C0030305,0.2674,UMLS,LapRLS
DB06261,C0013404,0.2674,UMLS,LapRLS
DB00828,C0020461,0.2674,HPO,LapRLS
DB00727,C0086439,0.2674,HPO,LapRLS
DB04572,C0003864,0.2674,HPO,LapRLS
DB06698,C0028734,0.2674,HPO,LapRLS
DB00316,C0008325,0.2674,HPO,LapRLS
DB01105,C0948031,0.2674,UMLS,GIP
DB00181,C0476280,0.2673,UMLS,GIP
DB01213,C0032797,0.2673,HPO,GIP
DB01184,C0265110,0.2672,UMLS,GIP
DB00262,C1292769,0.2672,UMLS,GIP
DB00742,C0156312,0.2672,HPO,GIP
DB01131,C0242698,0.2672,UMLS,GIP
DB00916,C0740299,0.2672,UMLS,GIP
DB01213,C0028960,0.2672,HPO,LapRLS
DB01181,C0009088,0.2672,HPO,GIP
DB06204,C0028081,0.2672,HPO,GIP
DB00597,C0032285,0.2672,HPO,LapRLS
DB00760,C0151735,0.2672,UMLS,LapRLS
DB00727,C0022346,0.2671,HPO,LapRLS
DB01255,C0392684,0.2671,UMLS,GIP
DB00321,C0521839,0.2671,UMLS,GIP
DB09090,C0272285,0.2671,UMLS,GIP
DB00795,C0429098,0.2671,UMLS,GIP
DB00828,C0042769,0.267,UMLS,GIP
DB00185,C0151598,0.267,UMLS,GIP
DB06795,C1692886,0.267,UMLS,GIP
DB00753,C0018021,0.267,HPO,LapRLS
DB00530,C0013238,0.267,UMLS,GIP
DB00501,C0013491,0.267,UMLS,GIP
DB01236,C1456784,0.267,UMLS,LapRLS
DB00859,C0011168,0.2669,HPO,LapRLS
DB06151,C0038358,0.2669,HPO,LapRLS
DB06151,C0002871,0.2669,UMLS,LapRLS
DB00323,C0392197,0.2669,UMLS,GIP
DB00291,C0027438,0.2669,UMLS,GIP
DB00484,C0858867,0.2669,UMLS,GIP
DB01131,C0003811,0.2669,UMLS,GIP
DB00431,C0004096,0.2668,UMLS,LapRLS
DB00182,C0021177,0.2668,UMLS,LapRLS
DB00996,C0151798,0.2668,HPO,LapRLS
DB01019,C0015672,0.2668,HPO,LapRLS
DB00539,C0034212,0.2668,HPO,GIP
DB00679,C0042568,0.2668,UMLS,GIP
DB09030,C0002792,0.2667,UMLS,GIP
DB00571,C0687133,0.2667,UMLS,GIP
DB00518,C0028734,0.2667,UMLS,GIP
DB00871,C0020456,0.2667,UMLS,GIP
DB00630,C0149745,0.2667,UMLS,GIP
DB00658,C0232487,0.2667,UMLS,LapRLS
DB01236,C0017601,0.2667,HPO,LapRLS
DB00859,C3665386,0.2667,HPO,LapRLS
DB06698,C0026827,0.2667,HPO,LapRLS
DB09220,C0272753,0.2666,UMLS,GIP
DB06261,C0043352,0.2666,UMLS,LapRLS
DB09220,C0232602,0.2666,UMLS,GIP
DB11750,C0423361,0.2666,UMLS,GIP
DB00720,C1306341,0.2666,UMLS,LapRLS
DB00753,C0030305,0.2665,UMLS,LapRLS
DB00915,C0232461,0.2665,HPO,LapRLS
DB00478,C0015230,0.2665,UMLS,LapRLS
DB00291,C0080274,0.2665,UMLS,GIP
DB00360,C0429029,0.2664,UMLS,GIP
DB06151,C0542571,0.2664,HPO,LapRLS
DB00804,C0026821,0.2664,UMLS,GIP
DB00911,C0403632,0.2664,UMLS,GIP
DB00918,C0429029,0.2664,UMLS,GIP
DB04572,C0017181,0.2663,HPO,LapRLS
DB01136,C0028643,0.2663,UMLS,GIP
DB00316,C0428977,0.2662,HPO,LapRLS
DB01033,C0520893,0.2662,UMLS,GIP
DB00624,C0854706,0.2661,UMLS,LapRLS
DB00753,C0012833,0.2661,UMLS,LapRLS
DB00857,C0019917,0.2661,UMLS,GIP
DB01240,C1292769,0.2661,UMLS,GIP
DB08933,C0265110,0.2661,UMLS,GIP
DB00332,C0687713,0.2661,UMLS,GIP
DB00630,C0014591,0.2661,UMLS,GIP
DB00222,C1527358,0.2661,UMLS,GIP
DB00235,C0162311,0.266,UMLS,GIP
DB04938,C0232208,0.266,UMLS,GIP
DB00476,C0004331,0.266,UMLS,GIP
DB00281,C0013428,0.266,UMLS,GIP
DB00828,C0030193,0.266,UMLS,LapRLS
DB00659,C0002874,0.2659,HPO,LapRLS
DB00859,C0085649,0.2659,HPO,LapRLS
DB00709,C0311468,0.2658,UMLS,GIP
DB00753,C0338831,0.2658,HPO,LapRLS
DB04572,C0040046,0.2658,HPO,LapRLS
DB00323,C0877303,0.2657,UMLS,GIP
DB00188,C0231451,0.2657,UMLS,GIP
DB00313,C0013604,0.2657,UMLS,LapRLS
DB00282,C0259768,0.2656,UMLS,GIP
DB08896,C0423361,0.2656,UMLS,GIP
DB01005,C0030196,0.2656,HPO,LapRLS
DB01019,C0009319,0.2655,HPO,LapRLS
DB00744,C0162119,0.2655,UMLS,GIP
DB05271,C0235267,0.2654,UMLS,GIP
DB00431,C0149745,0.2654,HPO,LapRLS
DB00659,C0549249,0.2654,UMLS,LapRLS
DB06703,C0729552,0.2654,UMLS,GIP
DB06217,C0014863,0.2653,UMLS,GIP
DB00235,C0424296,0.2653,UMLS,GIP
DB01014,C0948240,0.2653,UMLS,GIP
DB08871,C0151735,0.2653,UMLS,LapRLS
DB00929,C0151735,0.2652,UMLS,LapRLS
DB00316,C0151849,0.2652,UMLS,LapRLS
DB00583,C0424295,0.2652,HPO,LapRLS
DB06698,C0028738,0.2652,HPO,LapRLS
DB06261,C0231530,0.2651,UMLS,LapRLS
DB00910,C0033893,0.2651,HPO,GIP
DB00859,C0030193,0.2651,HPO,LapRLS
DB00564,C0740299,0.2651,UMLS,GIP
DB06698,C0424295,0.2649,UMLS,LapRLS
DB00597,C0085631,0.2649,HPO,LapRLS
DB06261,C0031350,0.2649,UMLS,LapRLS
DB06698,C0178298,0.2649,UMLS,LapRLS
DB00571,C0235283,0.2649,UMLS,GIP
DB00884,C3257803,0.2648,UMLS,GIP
DB00950,C0018524,0.2648,UMLS,GIP
DB00125,C0008031,0.2648,UMLS,LapRLS
DB00684,C0020456,0.2647,UMLS,GIP
DB00899,C0027441,0.2647,UMLS,GIP
DB00742,C0311468,0.2646,HPO,LapRLS
DB00182,C0151849,0.2646,UMLS,LapRLS
DB00195,C0019917,0.2645,UMLS,GIP
DB00316,C0162830,0.2645,UMLS,LapRLS
DB01213,C1536055,0.2645,UMLS,LapRLS
DB00928,C0392171,0.2645,UMLS,GIP
DB01019,C0002418,0.2645,HPO,LapRLS
DB00316,C0037036,0.2645,HPO,LapRLS
DB00499,C0023530,0.2645,UMLS,GIP
DB01219,C1292769,0.2645,UMLS,GIP
DB09071,C0231530,0.2644,UMLS,GIP
DB01216,C0687713,0.2644,UMLS,GIP
DB01008,C0011168,0.2643,HPO,LapRLS
DB00230,C0018979,0.2643,UMLS,LapRLS
DB01100,C0015967,0.2643,UMLS,GIP
DB00235,C0392390,0.2643,UMLS,GIP
DB00379,C0520463,0.2643,UMLS,GIP
DB00125,C0858635,0.2642,UMLS,GIP
DB04890,C0272285,0.2642,UMLS,GIP
DB00906,C2939447,0.2642,UMLS,LapRLS
DB01586,C0151735,0.2642,UMLS,LapRLS
DB00776,C0235146,0.2642,UMLS,GIP
DB00753,C0002871,0.2641,UMLS,LapRLS
DB00316,C0011570,0.264,UMLS,LapRLS
DB00633,C0456511,0.264,UMLS,GIP
DB01202,C0751295,0.264,UMLS,GIP
DB00573,C0338573,0.264,UMLS,GIP
DB06151,C0013595,0.264,HPO,LapRLS
DB11180,C0151836,0.2639,UMLS,LapRLS
DB00478,C0039231,0.2639,UMLS,LapRLS
DB00775,C0858635,0.2639,UMLS,GIP
DB01162,C0025209,0.2639,UMLS,GIP
DB00753,C0028738,0.2639,HPO,LapRLS
DB01213,C0023895,0.2638,UMLS,LapRLS
DB00431,C0004936,0.2638,UMLS,LapRLS
DB00130,C0030554,0.2638,UMLS,LapRLS
DB01236,C0424295,0.2637,UMLS,LapRLS
DB00572,C0521208,0.2637,UMLS,GIP
DB06228,C0027441,0.2637,UMLS,GIP
DB06711,C0264267,0.2637,UMLS,GIP
DB04572,C0012569,0.2637,HPO,LapRLS
DB08871,C0429029,0.2637,UMLS,GIP
DB01586,C0220983,0.2636,UMLS,GIP
DB06261,C0013144,0.2636,UMLS,GIP
DB01202,C0017181,0.2636,UMLS,GIP
DB08896,C0013238,0.2636,UMLS,GIP
DB01005,C0017178,0.2635,UMLS,LapRLS
DB01213,C0020621,0.2635,UMLS,LapRLS
DB00753,C0042510,0.2635,HPO,LapRLS
DB06684,C0034359,0.2635,UMLS,GIP
DB00555,C0001807,0.2635,UMLS,GIP
DB00697,C0272285,0.2635,UMLS,GIP
DB06826,C1760428,0.2634,UMLS,GIP
DB00349,C0231528,0.2634,UMLS,GIP
DB00859,C0030554,0.2633,UMLS,LapRLS
DB00916,C0003862,0.2632,UMLS,GIP
DB00370,C0151735,0.2631,UMLS,LapRLS
DB00722,C0271468,0.2631,UMLS,GIP
DB01012,C0576093,0.2631,HPO,GIP
DB00658,C0030312,0.263,HPO,LapRLS
DB00612,C0020039,0.263,UMLS,GIP
DB01275,C0017181,0.263,UMLS,GIP
DB00861,C0086438,0.263,UMLS,GIP
DB00744,C0455880,0.263,UMLS,GIP
DB00182,C0027497,0.263,UMLS,LapRLS
DB01236,C0016382,0.2629,UMLS,LapRLS
DB01213,C0599918,0.2629,UMLS,LapRLS
DB00316,C0023218,0.2629,UMLS,LapRLS
DB00130,C0020651,0.2629,HPO,LapRLS
DB00788,C1306577,0.2629,UMLS,GIP
DB00709,C0011124,0.2629,UMLS,GIP
DB00727,C0392197,0.2629,UMLS,GIP
DB11180,C0021053,0.2628,UMLS,LapRLS
DB00795,C1292769,0.2628,UMLS,GIP
DB00130,C0026826,0.2627,HPO,LapRLS
DB00187,C0020517,0.2627,UMLS,LapRLS
DB06698,C0042345,0.2627,HPO,LapRLS
DB06826,C0267925,0.2627,UMLS,GIP
DB00395,C0003862,0.2627,UMLS,GIP
DB06826,C0001546,0.2626,UMLS,GIP
DB01131,C0235827,0.2626,UMLS,GIP
DB06151,C0036572,0.2626,UMLS,LapRLS
DB06261,C0344232,0.2626,HPO,LapRLS
DB00649,C0013238,0.2626,UMLS,GIP
DB00986,C0740299,0.2626,UMLS,GIP
DB00313,C0034065,0.2625,HPO,LapRLS
DB04861,C0877303,0.2625,UMLS,GIP
DB00790,C0311468,0.2625,UMLS,GIP
DB01104,C0235475,0.2625,UMLS,GIP
DB00828,C0042510,0.2625,HPO,LapRLS
DB00658,C1536055,0.2625,UMLS,LapRLS
DB00918,C0392171,0.2625,UMLS,GIP
DB00612,C0001546,0.2624,UMLS,GIP
DB11180,C0003537,0.2624,HPO,LapRLS
DB00658,C0020621,0.2624,UMLS,LapRLS
DB00182,C0042029,0.2623,UMLS,LapRLS
DB01236,C0042345,0.2623,HPO,LapRLS
DB06410,C0567085,0.2623,UMLS,GIP
DB06802,C0020621,0.2622,UMLS,GIP
DB01008,C0042571,0.2622,HPO,LapRLS
DB06711,C0001175,0.2622,UMLS,GIP
DB06243,C0027438,0.2622,UMLS,GIP
DB00828,C0428977,0.2622,HPO,LapRLS
DB01067,C2240374,0.2622,UMLS,GIP
DB00182,C0085649,0.2621,UMLS,LapRLS
DB00659,C2225524,0.2621,HPO,LapRLS
DB00915,C0220983,0.2621,UMLS,GIP
DB00630,C1510497,0.262,UMLS,GIP
DB01136,C2939447,0.262,UMLS,LapRLS
DB01280,C0854706,0.262,UMLS,LapRLS
DB11180,C0017675,0.262,HPO,LapRLS
DB00244,C0152027,0.262,UMLS,GIP
DB06261,C0035455,0.2619,UMLS,LapRLS
DB09039,C0231451,0.2619,UMLS,GIP
DB00244,C0034065,0.2619,UMLS,GIP
DB01400,C0156279,0.2619,UMLS,GIP
DB04572,C1443060,0.2619,UMLS,LapRLS
DB00659,C0042510,0.2619,HPO,LapRLS
DB00125,C0042109,0.2619,UMLS,LapRLS
DB01241,C0020457,0.2619,UMLS,GIP
DB00697,C0858867,0.2618,UMLS,GIP
DB00727,C0235267,0.2618,UMLS,GIP
DB00747,C0235475,0.2618,UMLS,GIP
DB00250,C0015806,0.2618,UMLS,GIP
DB00316,C0549249,0.2618,UMLS,LapRLS
DB00674,C0853225,0.2618,UMLS,LapRLS
DB00431,C0231530,0.2618,UMLS,LapRLS
DB06698,C0080274,0.2617,UMLS,LapRLS
DB00633,C0009088,0.2617,HPO,GIP
DB06700,C0948031,0.2617,UMLS,GIP
DB00422,C0520887,0.2616,UMLS,GIP
DB00035,C0034888,0.2616,UMLS,GIP
DB06698,C0231530,0.2616,UMLS,LapRLS
DB00828,C0542571,0.2616,HPO,LapRLS
DB00130,C0013404,0.2616,HPO,LapRLS
DB00316,C0032617,0.2615,HPO,LapRLS
DB06151,C0178298,0.2615,UMLS,LapRLS
DB00597,C0023530,0.2615,HPO,LapRLS
DB00612,C0242698,0.2615,UMLS,GIP
DB00323,C0423006,0.2615,UMLS,GIP
DB01337,C0080274,0.2614,UMLS,GIP
DB00684,C0001546,0.2614,UMLS,GIP
DB06702,C0009676,0.2614,UMLS,GIP
DB00658,C0151766,0.2613,UMLS,GIP
DB00268,C0740299,0.2613,UMLS,GIP
DB00181,C0151898,0.2613,UMLS,GIP
DB06202,C0231528,0.2613,UMLS,GIP
DB11180,C0852911,0.2613,UMLS,LapRLS
DB06261,C0151878,0.2613,HPO,LapRLS
DB00899,C1527358,0.2612,UMLS,GIP
DB08815,C1527358,0.2612,UMLS,GIP
DB00572,C0025312,0.2612,HPO,GIP
DB01236,C0151636,0.2612,HPO,LapRLS
DB00215,C1535939,0.2612,UMLS,LapRLS
DB06698,C0021400,0.2612,UMLS,LapRLS
DB09134,C0235283,0.2612,UMLS,GIP
DB00828,C0020039,0.2612,UMLS,GIP
DB00720,C0004604,0.2611,UMLS,LapRLS
DB06756,C0271453,0.2611,UMLS,GIP
DB06335,C0231530,0.2611,UMLS,GIP
DB08819,C1527358,0.2611,UMLS,GIP
DB00399,C0858867,0.2611,UMLS,GIP
DB06698,C0423791,0.261,UMLS,LapRLS
DB06698,C0037199,0.261,HPO,LapRLS
DB00125,C0026827,0.2609,HPO,GIP
DB00125,C0004604,0.2609,HPO,LapRLS
DB01184,C0429029,0.2609,UMLS,GIP
DB00918,C0242698,0.2609,UMLS,GIP
DB00507,C0271468,0.2609,UMLS,GIP
DB06243,C0080274,0.2609,UMLS,GIP
DB00583,C0853193,0.2609,UMLS,GIP
DB06201,C0858635,0.2608,UMLS,GIP
DB13868,C0410256,0.2608,UMLS,GIP
DB00740,C0744403,0.2608,UMLS,LapRLS
DB00431,C0151878,0.2608,HPO,LapRLS
DB01019,C0030193,0.2608,HPO,LapRLS
DB00227,C0235283,0.2607,UMLS,GIP
DB01195,C0151735,0.2607,UMLS,LapRLS
DB00983,C0546956,0.2606,HPO,GIP
DB00659,C2830004,0.2606,UMLS,LapRLS
DB00125,C0038358,0.2605,HPO,LapRLS
DB01213,C0239571,0.2605,UMLS,LapRLS
DB01213,C0004509,0.2605,HPO,LapRLS
DB00597,C0014130,0.2604,UMLS,GIP
DB01019,C0043094,0.2604,HPO,LapRLS
DB01195,C0235475,0.2603,UMLS,GIP
DB01136,C0151827,0.2602,UMLS,GIP
DB01019,C0033975,0.2602,HPO,LapRLS
DB01249,C0314719,0.2602,UMLS,GIP
DB06151,C0003855,0.2602,HPO,GIP
DB00857,C0234708,0.2602,UMLS,GIP
DB00658,C0004509,0.2601,HPO,LapRLS
DB00545,C0002871,0.2601,UMLS,GIP
DB00775,C0013298,0.2601,UMLS,GIP
DB00583,C0034065,0.26,HPO,LapRLS
DB00316,C0029456,0.26,HPO,LapRLS
DB06698,C0032617,0.26,HPO,LapRLS
DB00440,C0520463,0.26,UMLS,GIP
DB00720,C0232933,0.26,UMLS,GIP
DB00177,C0206277,0.26,UMLS,GIP
DB01136,C0151735,0.2599,UMLS,LapRLS
DB00630,C0949691,0.2598,UMLS,GIP
DB00182,C0042109,0.2598,UMLS,GIP
DB01033,C0040261,0.2598,UMLS,GIP
DB00753,C0033975,0.2598,UMLS,LapRLS
DB00230,C0011603,0.2597,UMLS,LapRLS
DB11180,C1456784,0.2597,UMLS,LapRLS
DB00182,C0023218,0.2597,UMLS,LapRLS
DB00182,C0033975,0.2597,UMLS,LapRLS
DB06151,C0854456,0.2597,UMLS,GIP
DB00742,C0948594,0.2596,UMLS,LapRLS
DB00494,C0853225,0.2596,UMLS,LapRLS
DB06769,C0429098,0.2596,UMLS,GIP
DB01189,C0338575,0.2596,UMLS,GIP
DB08868,C0085624,0.2595,UMLS,GIP
DB00679,C0520887,0.2595,UMLS,GIP
DB01008,C0028738,0.2594,HPO,LapRLS
DB00332,C0028643,0.2594,UMLS,GIP
DB09080,C0853697,0.2594,UMLS,GIP
DB00210,C0520887,0.2594,UMLS,GIP
DB00958,C0424790,0.2594,UMLS,GIP
DB11180,C0028738,0.2594,HPO,LapRLS
DB00720,C0239517,0.2593,UMLS,GIP
DB00659,C0003537,0.2593,HPO,LapRLS
DB00697,C2939447,0.2592,UMLS,LapRLS
DB01050,C1292769,0.2592,UMLS,GIP
DB00658,C0023895,0.2592,UMLS,LapRLS
DB00583,C0039070,0.2592,HPO,LapRLS
DB00553,C1292769,0.2592,UMLS,GIP
DB01008,C0162830,0.2591,UMLS,LapRLS
DB04861,C0423006,0.2591,UMLS,GIP
DB00315,C0235475,0.2591,UMLS,GIP
DB00439,C0034359,0.2591,UMLS,GIP
DB01062,C0429029,0.2591,UMLS,GIP
DB00736,C0013238,0.259,UMLS,GIP
DB00533,C0009806,0.259,UMLS,GIP
DB09242,C0520679,0.2589,UMLS,GIP
DB00741,C0034888,0.2589,UMLS,GIP
DB00727,C2937350,0.2589,HPO,LapRLS
DB00753,C0013295,0.2589,HPO,LapRLS
DB00316,C0042023,0.2589,HPO,LapRLS
DB00431,C0018099,0.2589,HPO,LapRLS
DB00499,C0576093,0.2588,HPO,GIP
DB01008,C0016382,0.2588,UMLS,LapRLS
DB00398,C0026113,0.2588,UMLS,GIP
DB01262,C0272285,0.2588,UMLS,GIP
DB01236,C0013595,0.2587,HPO,LapRLS
DB01189,C0042341,0.2587,HPO,GIP
DB00291,C0033893,0.2587,UMLS,GIP
DB11180,C0151578,0.2587,UMLS,LapRLS
DB06261,C0151598,0.2586,UMLS,GIP
DB08932,C1527358,0.2586,UMLS,GIP
DB00529,C0003862,0.2585,HPO,LapRLS
DB00280,C0027441,0.2585,UMLS,GIP
DB01033,C0576091,0.2585,UMLS,GIP
DB00828,C0022346,0.2585,UMLS,GIP
DB04938,C0546956,0.2584,HPO,GIP
DB01043,C0151786,0.2584,UMLS,GIP
DB01233,C0001546,0.2584,UMLS,GIP
DB05271,C1760428,0.2584,UMLS,GIP
DB06711,C0429029,0.2584,UMLS,GIP
DB00728,C0858867,0.2584,UMLS,GIP
DB01157,C0853225,0.2584,UMLS,LapRLS
DB00996,C0038358,0.2584,HPO,LapRLS
DB01019,C0011168,0.2584,HPO,LapRLS
DB06151,C0037274,0.2584,HPO,LapRLS
