Drug1,Drug2,Prob,Source,Method
DB11995,DB09049,0.6667,DrugBank,semEP
DB13950,DB00343,0.6667,DrugBank,semEP
DB06204,DB06264,0.6667,DrugBank,semEP
DB00860,DB08906,0.6667,DrugBank,semEP
DB00278,DB13772,0.6667,DrugBank,semEP
DB00643,DB04417,0.6667,DrugBank,semEP
DB01357,DB00977,0.6667,DrugBank,semEP
DB09049,DB01590,0.6667,DrugBank,semEP
DB00512,DB00685,0.6667,DrugBank,semEP
DB00959,DB00523,0.6667,DrugBank,semEP
DB06190,DB09072,0.6667,DrugBank,semEP
DB01405,DB13124,0.6667,DrugBank,semEP
DB06204,DB06718,0.6667,DrugBank,semEP
DB01612,DB00951,0.6667,DrugBank,semEP
DB00377,DB11915,0.6667,DrugBank,semEP
DB09076,DB09085,0.6667,DrugBank,semEP
DB11641,DB00696,0.6667,DrugBank,semEP
DB01064,DB06204,0.6667,DrugBank,semEP
DB01395,DB00316,0.6667,DrugBank,semEP
DB08916,DB12945,0.6667,DrugBank,semEP
DB00735,DB00217,0.6667,DrugBank,semEP
DB00751,DB06148,0.6667,DrugBank,semEP
DB04165,DB01255,0.6667,DrugBank,semEP
DB01268,DB00635,0.6667,DrugBank,semEP
DB13953,DB13955,0.6667,DrugBank,semEP
DB00285,DB04540,0.6667,DrugBank,semEP
DB05271,DB00255,0.6667,DrugBank,semEP
DB06251,DB01600,0.6667,DrugBank,semEP
DB11587,DB06152,0.6667,DrugBank,semEP
DB01074,DB00996,0.6667,DrugBank,semEP
DB01189,DB01107,0.6667,DrugBank,semEP
DB00755,DB09070,0.6667,DrugBank,semEP
DB12092,DB00951,0.6667,DrugBank,semEP
DB08882,DB00762,0.6667,DrugBank,semEP
DB00187,DB00738,0.6667,DrugBank,semEP
DB12692,DB01440,0.6667,DrugBank,semEP
DB06810,DB00445,0.6667,DrugBank,semEP
DB01437,DB00661,0.6667,DrugBank,semEP
DB07615,DB00872,0.6667,DrugBank,semEP
DB00181,DB06274,0.6667,DrugBank,semEP
DB02855,DB08626,0.6667,DrugBank,semEP
DB00281,DB00159,0.6667,DrugBank,semEP
DB00983,DB01274,0.6667,DrugBank,semEP
DB01259,DB01301,0.6667,DrugBank,semEP
DB00720,DB00159,0.6667,DrugBank,semEP
DB04825,DB06814,0.6667,DrugBank,semEP
DB00589,DB13650,0.6667,DrugBank,semEP
DB00937,DB00867,0.6667,DrugBank,semEP
DB01090,DB00735,0.6667,DrugBank,semEP
DB01171,DB01176,0.6667,DrugBank,semEP
DB00612,DB13443,0.6667,DrugBank,semEP
DB08972,DB01059,0.6667,DrugBank,semEP
DB00255,DB00715,0.6667,DrugBank,semEP
DB01241,DB00217,0.6667,DrugBank,semEP
