Drug1,Drug2,Prob,Method
DB00331,C0242350,0.2057,GIP
DB00296,C0947912,0.2054,GIP
DB01586,C0338480,0.2051,GIP
DB01077,C0376358,0.205,GIP
DB06201,C0002792,0.2048,GIP
DB00585,C0025312,0.2045,GIP
DB01077,C0033578,0.2038,GIP
DB00316,C0237849,0.2034,GIP
DB00996,C0025312,0.2033,GIP
DB00461,C0265294,0.2033,GIP
DB05015,C0002792,0.2032,GIP
DB01105,C0947912,0.2031,GIP
DB00125,C0338480,0.203,GIP
DB01033,C0034628,0.2028,GIP
DB00863,C0033893,0.2025,GIP
DB01255,C0025323,0.2018,GIP
DB00871,C0151544,0.2016,GIP
DB09041,C0025312,0.2015,GIP
DB00282,C0027794,0.2015,GIP
DB01197,C0546956,0.2013,GIP
DB00855,C0156312,0.2011,GIP
DB00743,C0034212,0.201,GIP
DB00857,C0265294,0.2007,GIP
DB00878,C0338480,0.2007,GIP
DB00399,C0025312,0.2006,GIP
DB01014,C0009088,0.2005,GIP
DB00990,C2711227,0.2003,GIP
DB04861,C0033893,0.1997,GIP
DB01213,C0338480,0.1996,GIP
DB00847,C0338480,0.1989,GIP
DB01043,C0027343,0.1988,GIP
DB09220,C0027343,0.1988,GIP
DB00489,C0009088,0.1987,GIP
DB01043,C0003855,0.1986,GIP
DB00529,C0156312,0.1981,GIP
DB06201,C0033893,0.1981,GIP
DB01216,C0034212,0.1979,GIP
DB01085,C0003962,0.1979,GIP
DB00828,C0033860,0.1978,GIP
DB09110,C0043094,0.1978,GIP
DB01088,C0015672,0.1974,GIP
DB00929,C0033893,0.19699999999999998,GIP
DB00855,C0029191,0.1967,GIP
DB00855,C0235439,0.1966,GIP
DB01046,C0033893,0.1963,GIP
DB00331,C0156312,0.1958,GIP
DB00884,C0010520,0.1958,GIP
DB01213,C0006625,0.1955,GIP
DB00316,C0587246,0.1955,GIP
DB01131,C0026827,0.1952,GIP
DB00419,C0002792,0.195,GIP
DB01042,C0015672,0.1949,GIP
DB00720,C0017574,0.1946,GIP
DB00499,C2711227,0.1946,GIP
DB01400,C0025323,0.1944,GIP
DB01213,C0003962,0.1942,GIP
DB00335,C0003855,0.1941,GIP
DB00990,C0002792,0.1938,GIP
DB01033,C0033578,0.1935,GIP
DB01005,C0029191,0.1933,GIP
DB01019,C0037301,0.1933,GIP
DB00230,C0003855,0.1932,GIP
DB00529,C0042341,0.193,GIP
DB00851,C0546956,0.1927,GIP
DB00855,C0028754,0.1923,GIP
DB00915,C0028081,0.1922,GIP
DB00125,C0271321,0.1921,GIP
DB00735,C0028081,0.1916,GIP
DB00863,C0010520,0.1916,GIP
DB01233,C2711227,0.1914,GIP
DB01033,C0376358,0.1913,GIP
DB00742,C0018621,0.1911,GIP
DB00294,C0009088,0.191,GIP
DB01188,C0033893,0.1907,GIP
DB00648,C0018418,0.19,GIP
DB00544,C0376358,0.1896,GIP
DB00571,C0027794,0.1894,GIP
DB11180,C0027059,0.18899999999999997,GIP
DB06151,C0018800,0.18899999999999997,GIP
DB00630,C0151544,0.18899999999999997,GIP
DB00958,C0376358,0.1888,GIP
DB00316,C0029191,0.1884,GIP
DB00282,C0236000,0.1884,GIP
DB06151,C1442903,0.1883,GIP
DB00878,C0034628,0.1881,GIP
DB00478,C0027059,0.1879,GIP
DB01586,C1704272,0.1876,GIP
DB00332,C0025323,0.1874,GIP
DB00573,C0032797,0.1873,GIP
DB06700,C0947912,0.1869,GIP
DB06756,C0042341,0.1869,GIP
DB01275,C0027794,0.1868,GIP
DB06204,C0025323,0.1867,GIP
DB01247,C0018916,0.1867,GIP
DB01020,C2937220,0.1867,GIP
DB00316,C0025323,0.1866,GIP
DB00658,C0003855,0.1864,GIP
DB00594,C0025312,0.1861,GIP
DB06700,C0015967,0.18600000000000003,GIP
DB00938,C0033893,0.1858,GIP
DB01043,C0338480,0.1856,GIP
DB06151,C0271321,0.1851,GIP
DB01337,C2711227,0.1851,GIP
DB00437,C0007102,0.1851,GIP
DB01236,C0265294,0.1851,GIP
DB06151,C0027430,0.1851,GIP
DB00529,C0040261,0.185,GIP
DB00735,C0025323,0.185,GIP
DB00501,C0034628,0.185,GIP
DB01131,C0025323,0.1847,GIP
DB00654,C0033893,0.1847,GIP
DB01242,C0025323,0.1846,GIP
DB01197,C0026827,0.1845,GIP
DB00331,C0033117,0.1845,GIP
DB00627,C0376358,0.1838,GIP
DB00594,C0010520,0.1836,GIP
DB06794,C0034212,0.1836,GIP
DB06204,C0037301,0.1835,GIP
DB00692,C0018418,0.1834,GIP
DB00909,C0162627,0.1832,GIP
DB00828,C0156312,0.1832,GIP
DB04106,C0007102,0.1831,GIP
DB00594,C0410740,0.1831,GIP
DB06698,C0026827,0.1829,GIP
DB01241,C0271321,0.1829,GIP
DB04876,C0018916,0.1827,GIP
DB00564,C0003962,0.1826,GIP
DB00630,C0236024,0.1826,GIP
DB01080,C0338480,0.1825,GIP
DB06711,C0235439,0.1825,GIP
DB00597,C0029191,0.1822,GIP
DB06637,C0043094,0.1822,GIP
DB06698,C0028754,0.1821,GIP
DB06698,C0242350,0.1819,GIP
DB00369,C0546956,0.1817,GIP
DB00996,C0235439,0.1816,GIP
DB06151,C0042341,0.1816,GIP
DB00743,C0018916,0.1815,GIP
DB00539,C0033893,0.1814,GIP
DB00684,C0853945,0.1811,GIP
DB01247,C0025312,0.1811,GIP
DB00545,C0042909,0.18100000000000002,GIP
DB00871,C0027343,0.18100000000000002,GIP
DB09110,C0042341,0.1809,GIP
DB06794,C0018418,0.1804,GIP
DB00857,C0025323,0.1804,GIP
