Drug1,Drug2,Prob,Method
DB01215,C0005695,0.9755,BLM
DB00209,C0015402,0.9754,BLM
DB00130,C0017565,0.9754,BLM
DB00242,C0015402,0.9753,BLM
DB00709,C0042345,0.9753,BLM
DB01250,C0151699,0.9753,BLM
DB01264,C0151699,0.9753,BLM
DB01215,C0019064,0.9753,BLM
DB00491,C0162119,0.9752,BLM
DB01067,C0018926,0.9752,BLM
DB01085,C0017565,0.9752,BLM
DB06213,C0003855,0.9752,BLM
DB01046,C0017565,0.9751,BLM
DB09101,C0162119,0.9749,BLM
DB01008,C0015402,0.9747,BLM
DB06215,C0151699,0.9746,BLM
DB00491,C0017565,0.9746,BLM
DB00461,C0032000,0.9746,BLM
DB00836,C0017565,0.9746,BLM
DB00997,C0032000,0.9745,BLM
DB00857,C0151699,0.9745,BLM
DB00130,C0162119,0.9745,BLM
DB06772,C0162119,0.9743,BLM
DB00316,C0015402,0.9743,BLM
DB00209,C0029456,0.9743,BLM
DB01060,C0017565,0.9742,BLM
DB01029,C0019064,0.9742,BLM
DB01264,C0015402,0.9741,BLM
DB00790,C0015402,0.9741,BLM
DB00104,C0003855,0.974,BLM
DB00492,C0151699,0.9739,BLM
DB00367,C0018926,0.9739,BLM
DB00916,C0162119,0.9739,BLM
DB00836,C0162119,0.9737,BLM
DB04854,C0018926,0.9736,BLM
DB00806,C0018926,0.9735,BLM
DB01220,C0017565,0.9735,BLM
DB00346,C0018926,0.9734,BLM
DB14126,C0151699,0.9733,BLM
DB06215,C0003855,0.9732,BLM
DB00343,C0019064,0.9732,BLM
DB00349,C0151699,0.9732,BLM
DB00316,C0151699,0.9732,BLM
DB00209,C0151699,0.9731,BLM
DB06414,C0017565,0.9729,BLM
DB01008,C0151699,0.9729,BLM
DB00297,C0917798,0.9729,BLM
DB01142,C0005695,0.9729,BLM
DB01263,C0162119,0.9729,BLM
DB00804,C0003855,0.9728,BLM
DB01220,C0162119,0.9728,BLM
DB00685,C0162119,0.9727,BLM
DB04485,C0018926,0.9727,BLM
DB00104,C0019064,0.9727,BLM
DB00518,C0017565,0.9726,BLM
DB00327,C0151699,0.9726,BLM
DB01254,C0003855,0.9725,BLM
DB00533,C0017565,0.9725,BLM
DB01263,C0017565,0.9725,BLM
DB00884,C0018926,0.9725,BLM
DB09462,C0018926,0.9725,BLM
DB00597,C0015402,0.9724,BLM
DB00331,C0019079,0.9724,BLM
DB00724,C0029089,0.9724,BLM
DB01030,C0018926,0.9724,BLM
DB00264,C0019064,0.9724,BLM
DB00692,C0162119,0.9724,BLM
DB01268,C0151699,0.9723,BLM
DB00762,C0029089,0.9723,BLM
DB01072,C0151699,0.9723,BLM
