Drug1,Drug2,Prob,Method
DB11180,C0037274,0.4314,LapRLS
DB06698,C0392525,0.4303,LapRLS
DB01213,C0030196,0.4302,LapRLS
DB00313,C0020456,0.4293,LapRLS
DB11180,C0392525,0.4293,LapRLS
DB00431,C0037274,0.4286,LapRLS
DB00828,C0034065,0.4286,LapRLS
DB01008,C0085649,0.4271,LapRLS
DB00583,C0042109,0.42700000000000005,LapRLS
DB06151,C0020651,0.4268,LapRLS
DB00753,C0033975,0.4266,LapRLS
DB11180,C0040822,0.4257,LapRLS
DB00727,C0011991,0.4249,LapRLS
DB00859,C0043352,0.4242,LapRLS
DB00753,C0392525,0.4239,LapRLS
DB00583,C0002792,0.4237,LapRLS
DB00720,C0030554,0.4235,LapRLS
DB01236,C0039070,0.4232,LapRLS
DB06261,C0423791,0.4224,LapRLS
DB04572,C0020651,0.42200000000000004,LapRLS
DB06261,C0014591,0.4216,LapRLS
DB06698,C0042109,0.4215,LapRLS
DB06261,C0080274,0.4212,LapRLS
DB06261,C0020651,0.4211,LapRLS
DB00597,C0020456,0.4209,LapRLS
DB00720,C0034065,0.4205,LapRLS
DB01236,C0085632,0.4193,LapRLS
DB00478,C0030554,0.4184,LapRLS
DB00753,C0014591,0.4181,LapRLS
DB00431,C0033975,0.4173,LapRLS
DB11180,C0040264,0.4171,LapRLS
DB00431,C0040264,0.4166,LapRLS
DB01008,C0030305,0.4164,LapRLS
DB00727,C0010200,0.4154,LapRLS
DB00720,C0423791,0.4151,LapRLS
DB06698,C1456784,0.4149,LapRLS
DB00316,C0392525,0.4149,LapRLS
DB00720,C0085632,0.4149,LapRLS
DB00130,C0030554,0.4146,LapRLS
DB01019,C0018681,0.4144,LapRLS
DB11180,C0033975,0.4141,LapRLS
DB06698,C0039070,0.413,LapRLS
DB00125,C0030554,0.413,LapRLS
DB00478,C0011991,0.4126,LapRLS
DB00431,C0423791,0.4112,LapRLS
DB11180,C2830004,0.4108,LapRLS
DB00316,C0036572,0.4104,LapRLS
DB01008,C0392525,0.4094,LapRLS
DB06151,C0085649,0.4092,LapRLS
DB00431,C0392525,0.4092,LapRLS
DB01236,C0030193,0.4089,LapRLS
DB00658,C0001339,0.4088,LapRLS
DB01008,C0162429,0.4082,LapRLS
DB00720,C0002962,0.4078,LapRLS
DB00720,C0026826,0.4075,LapRLS
DB06698,C0004604,0.4074,LapRLS
DB00859,C0020456,0.4073,LapRLS
DB00828,C0037274,0.40700000000000003,LapRLS
DB00753,C0037274,0.4069,LapRLS
